abandoned 	 JJ
abandon 	 VB
ability 	 NN
able 	 JJ
about 	 ADVB
about 	 PREP
above 	 ADVB
above 	 PREP
abroad 	 ADVB
absence 	 NN
absent 	 JJ
absolute 	 JJ
absolutely 	 ADVB
absorb 	 VB
abuse 	 NN
abuse 	 VB
academic 	 JJ
accent 	 NN
acceptable 	 JJ
accept 	 VB
access 	 NN
accidental 	 JJ
accidentally 	 ADVB
accident 	 NN
accompany 	 VB
according 	 PREP
account 	 NN
account 	 VB
accurate 	 JJ
accurately 	 ADVB
accuse 	 VB
achievement 	 NN
achieve 	 VB
acid 	 NN
acknowledge 	 VB
acquire 	 VB
across 	 ADVB
across 	 PREP
action 	 NN
active 	 JJ
actively 	 ADVB
activist 	 NN
activity 	 NN
act 	 NN
actor 	 NN
actress 	 NN
actual 	 JJ
actually 	 ADVB
act 	 VB
adapt 	 VB
additional 	 JJ
addition 	 NN
address 	 NN
address 	 VB
add 	 VB
adequate 	 JJ
adequately 	 ADVB
adjust 	 VB
administration 	 NN
admiration 	 NN
admire 	 VB
admit 	 VB
ad 	 NN
adopt 	 VB
adult 	 JJ
adult 	 NN
advanced 	 JJ
advance 	 NN
advance 	 VB
advantage 	 NN
adventure 	 NN
advertisement 	 NN
advertise 	 VB
advertising 	 NN
advice 	 NN
advise 	 VB
affair 	 NN
affection 	 NN
affect 	 VB
afford 	 VB
afraid 	 JJ
after 	 ADVB
after 	 CONJ
afternoon 	 NN
after 	 PREP
afterward 	 ADVB
afterwards 	 ADVB
again 	 ADVB
against 	 PREP
aged 	 JJ
agency 	 NN
agenda 	 NN
age 	 NN
agent 	 NN
aggressive 	 JJ
ago 	 ADVB
agreement 	 NN
agree 	 VB
ahead 	 ADVB
aid 	 NN
aid 	 VB
aim 	 NN
aim 	 VB
a 	 INDEFART
aircraft 	 NN
air 	 NN
airport 	 NN
alarmed 	 JJ
alarming 	 JJ
alarm 	 NN
alarm 	 VB
alcoholic 	 JJ
alcohol 	 NN
alive 	 JJ
all 	 ADVB
all 	 DET
allied 	 JJ
allow 	 VB
all 	 PRNOUN
ally 	 NN
ally 	 VB
almost 	 ADVB
alone 	 JJ
alone 	 ADVB
along 	 ADVB
along 	 PREP
alongside 	 ADVB
alongside 	 PREP
aloud 	 ADVB
alphabetical 	 JJ
alphabetically 	 ADVB
alphabet 	 NN
already 	 ADVB
also 	 ADVB
alternative 	 JJ
alternatively 	 ADVB
alternative 	 NN
alter 	 VB
although 	 CONJ
altogether 	 ADVB
always 	 ADVB
a.m. 	 ABBR
amazed 	 JJ
amaze 	 VB
amazing 	 JJ
ambition 	 NN
ambulance 	 NN
among 	 PREP
amount 	 NN
amount 	 VB
amused 	 JJ
amuse 	 VB
amusing 	 JJ
analysis 	 NN
analyze 	 VB
ancient 	 JJ
and 	 CONJ
anger 	 NN
angle 	 NN
angrily 	 ADVB
angry 	 JJ
animal 	 NN
an 	 INDEFART
ankle 	 NN
anniversary 	 NN
announcement 	 NN
announce 	 VB
annoyed 	 JJ
annoying 	 JJ
annoy 	 VB
annual 	 JJ
annually 	 ADVB
another 	 DET
another 	 PRNOUN
answer 	 NN
answer 	 VB
anticipate 	 VB
anxiety 	 NN
anxious 	 JJ
anxiously 	 ADVB
any 	 ADVB
anybody 	 PRNOUN
any 	 DET
anyone 	 PRNOUN
any 	 PRNOUN
anything 	 PRNOUN
anyway 	 ADVB
anywhere 	 ADVB
apart 	 ADVB
apartment 	 NN
apologize 	 VB
apparent 	 JJ
apparently 	 ADVB
appeal 	 NN
appeal 	 VB
appearance 	 NN
appear 	 VB
apple 	 NN
application 	 NN
apply 	 VB
appointment 	 NN
appoint 	 VB
appreciate 	 VB
approach 	 NN
approach 	 VB
appropriate 	 JJ
approval 	 NN
approve 	 VB
approving 	 JJ
approximate 	 JJ
approximately 	 ADVB
April 	 NN
area 	 NN
argue 	 VB
argument 	 NN
arise 	 VB
armed 	 JJ
arm 	 NN
arms 	 NN
arm 	 VB
army 	 NN
around 	 ADVB
around 	 PREP
arrangement 	 NN
arrange 	 VB
arrest 	 NN
arrest 	 VB
arrival 	 NN
arrive 	 VB
arrow 	 NN
article 	 NN
artificial 	 JJ
artificially 	 ADVB
artistic 	 JJ
artist 	 NN
art 	 NN
as 	 ADVB
as 	 CONJ
ashamed 	 JJ
aside 	 ADVB
ask 	 VB
asleep 	 JJ
aspect 	 NN
as 	 PREP
assistance 	 NN
assistant 	 JJ
assistant 	 NN
assist 	 VB
associate 	 VB
association 	 NN
assume 	 VB
assure 	 VB
atmosphere 	 NN
atom 	 NN
at 	 PREP
attached 	 JJ
attach 	 VB
attack 	 NN
attack 	 VB
attempted 	 JJ
attempt 	 NN
attempt 	 VB
attend 	 VB
attention 	 NN
attitude 	 NN
attorney 	 NN
attraction 	 NN
attractive 	 JJ
attract 	 VB
audience 	 NN
August 	 NN
aunt 	 NN
authority 	 NN
author 	 NN
automatic 	 JJ
automatically 	 ADVB
available 	 JJ
average 	 JJ
average 	 NN
avoid 	 VB
awake 	 JJ
award 	 NN
award 	 VB
aware 	 JJ
away 	 ADVB
awful 	 JJ
awkward 	 JJ
awkwardly 	 ADVB
baby 	 NN
back 	 JJ
back 	 ADVB
background 	 NN
back 	 NN
back 	 VB
backward 	 JJ
backward 	 ADVB
backwards 	 ADVB
bacteria 	 NN
bad 	 JJ
badly 	 ADVB
baggage 	 NN
bag 	 NN
bake 	 VB
balance 	 NN
balance 	 VB
ball 	 NN
bandage 	 NN
bandage 	 VB
band 	 NN
bank 	 NN
ban 	 NN
ban 	 VB
barely 	 ADVB
bargain 	 NN
bar 	 NN
barrier 	 NN
baseball 	 NN
base 	 NN
base 	 VB
basic 	 JJ
basically 	 ADVB
basis 	 NN
basketball 	 NN
bath 	 NN
bathroom 	 NN
battery 	 NN
battle 	 NN
bay 	 NN
beach 	 NN
beak 	 NN
beard 	 NN
bear 	 VB
beat 	 NN
beat 	 VB
beautiful 	 JJ
beautifully 	 ADVB
beauty 	 NN
be 	 AUX
because 	 CONJ
because 	 PREP
become 	 VB
bed 	 NN
bedroom 	 NN
beef 	 NN
beer 	 NN
before 	 ADVB
before 	 CONJ
before 	 PREP
beginning 	 NN
begin 	 VB
behalf 	 NN
behave 	 VB
behavior 	 NN
behind 	 ADVB
behind 	 PREP
belief 	 NN
believe 	 VB
bell 	 NN
belong 	 VB
below 	 ADVB
below 	 PREP
belt 	 NN
bend 	 NN
bend 	 VB
beneath 	 ADVB
beneath 	 PREP
benefit 	 NN
benefit 	 VB
bent 	 JJ
beside 	 PREP
best 	 ADVB
bet 	 NN
better 	 ADVB
bet 	 VB
between 	 ADVB
between 	 PREP
be 	 VB
beyond 	 ADVB
beyond 	 PREP
bicycle 	 NN
bid 	 NN
bid 	 VB
big 	 JJ
bike 	 NN
bill 	 NN
biology 	 NN
bird 	 NN
birthday 	 NN
birth 	 NN
bite 	 NN
bite 	 VB
bit 	 NN
bitter 	 JJ
bitterly 	 ADVB
black 	 JJ
black 	 NN
blade 	 NN
blame 	 NN
blame 	 VB
blank 	 JJ
blankly 	 ADVB
blank 	 NN
blind 	 JJ
block 	 NN
block 	 VB
blond 	 JJ
blonde 	 JJ
blonde 	 NN
blond 	 NN
blood 	 NN
blow 	 NN
blow 	 VB
blue 	 JJ
blue 	 NN
board 	 NN
board 	 VB
boat 	 NN
body 	 NN
boil 	 VB
bomb 	 NN
bomb 	 VB
bond 	 NN
bone 	 NN
book 	 NN
book 	 VB
boot 	 NN
border 	 NN
bored 	 JJ
bore 	 VB
boring 	 JJ
born 	 VB
borrow 	 VB
boss 	 NN
both 	 DET
bother 	 VB
both 	 PRNOUN
bottle 	 NN
bottom 	 JJ
bottom 	 NN
bound 	 JJ
bowl 	 NN
box 	 NN
boyfriend 	 NN
boy 	 NN
brain 	 NN
branch 	 NN
brand 	 NN
brave 	 JJ
bread 	 NN
breakfast 	 NN
break 	 NN
break 	 VB
breast 	 NN
breathe 	 VB
breathing 	 NN
breath 	 NN
breed 	 NN
breed 	 VB
brick 	 NN
bridge 	 NN
brief 	 JJ
briefly 	 ADVB
bright 	 JJ
brightly 	 ADVB
brilliant 	 JJ
bring 	 VB
broad 	 JJ
broadcast 	 NN
broadcast 	 VB
broadly 	 ADVB
broken 	 JJ
brother 	 NN
brown 	 JJ
brown 	 NN
brush 	 NN
brush 	 VB
bubble 	 NN
budget 	 NN
building 	 NN
build 	 VB
bullet 	 NN
bunch 	 NN
burn 	 VB
burst 	 VB
bury 	 VB
bush 	 NN
businessman 	 NN
business 	 NN
businesswoman 	 NN
bus 	 NN
busy 	 JJ
but 	 CONJ
butter 	 NN
butt 	 NN
button 	 NN
buyer 	 NN
buy 	 VB
by 	 ADVB
bye 	 EXCLAM
by 	 PREP
c 	 ABBR
cabinet 	 NN
cable 	 NN
cake 	 NN
calculate 	 VB
calculation 	 NN
call 	 NN
call 	 VB
calm 	 JJ
calmly 	 ADVB
calm 	 NN
calm 	 VB
camera 	 NN
campaign 	 NN
camp 	 NN
camp 	 VB
cancel 	 VB
cancer 	 NN
candidate 	 NN
candy 	 NN
can 	 MODAL
can 	 NN
capable 	 JJ
capacity 	 NN
capital 	 JJ
capital 	 NN
cap 	 NN
captain 	 NN
capture 	 NN
capture 	 VB
card 	 NN
career 	 NN
careful 	 JJ
carefully 	 ADVB
careless 	 JJ
carelessly 	 ADVB
care 	 NN
care 	 VB
car 	 NN
carpet 	 NN
carrot 	 NN
carry 	 VB
case 	 NN
cash 	 NN
castle 	 NN
cast 	 NN
cast 	 VB
catch 	 VB
category 	 NN
cat 	 NN
cause 	 NN
cause 	 VB
CD 	 NN
cease 	 VB
ceiling 	 NN
celebrate 	 VB
celebration 	 NN
cell 	 NN
cellphone 	 NN
cellular 	 JJ
cent 	 ABBR
center 	 NN
centimeter 	 NN
cent 	 NN
central 	 JJ
century 	 NN
ceremony 	 NN
certain 	 JJ
certainly 	 ADVB
certain 	 PRNOUN
certificate 	 NN
chain 	 NN
chain 	 VB
chairman 	 NN
chair 	 NN
chairwoman 	 NN
challenge 	 NN
challenge 	 VB
chamber 	 NN
chance 	 NN
change 	 NN
change 	 VB
channel 	 NN
chapter 	 NN
characteristic 	 JJ
characteristic 	 NN
character 	 NN
charge 	 NN
charge 	 VB
charity 	 NN
chart 	 NN
chart 	 VB
chase 	 NN
chase 	 VB
chat 	 NN
chat 	 VB
cheap 	 JJ
cheaply 	 ADVB
cheat 	 NN
cheat 	 VB
check 	 NN
check 	 VB
cheek 	 NN
cheerful 	 JJ
cheerfully 	 ADVB
cheese 	 NN
chemical 	 JJ
chemical 	 NN
chemist 	 NN
chemistry 	 NN
chest 	 NN
chew 	 VB
chicken 	 NN
chief 	 JJ
chief 	 NN
childhood 	 NN
child 	 NN
chin 	 NN
chip 	 NN
chocolate 	 NN
choice 	 NN
choose 	 VB
chop 	 VB
church 	 NN
cigarette 	 NN
circle 	 NN
circumstance 	 NN
citizen 	 NN
city 	 NN
civil 	 JJ
claim 	 NN
claim 	 VB
classic 	 JJ
classic 	 NN
class 	 NN
classroom 	 NN
clean 	 JJ
clean 	 VB
clear 	 JJ
clearly 	 ADVB
clear 	 VB
clerk 	 NN
click 	 NN
click 	 VB
client 	 NN
climate 	 NN
climb 	 VB
clock 	 NN
close 	 JJ
closed 	 JJ
closely 	 ADVB
closet 	 NN
close 	 VB
clothes 	 NN
clothing 	 NN
cloth 	 NN
cloud 	 NN
club 	 NN
cm 	 ABBR
coach 	 NN
coal 	 NN
coast 	 NN
coat 	 NN
code 	 NN
coffee 	 NN
coin 	 NN
cold 	 JJ
coldly 	 ADVB
cold 	 NN
collapse 	 NN
collapse 	 VB
colleague 	 NN
collection 	 NN
collect 	 VB
college 	 NN
colored 	 JJ
color 	 NN
color 	 VB
column 	 NN
combination 	 NN
combine 	 VB
comedy 	 NN
come 	 VB
comfortable 	 JJ
comfortably 	 ADVB
comfort 	 NN
comfort 	 VB
command 	 NN
command 	 VB
comment 	 NN
comment 	 VB
commercial 	 JJ
commercial 	 NN
commission 	 NN
commission 	 VB
commitment 	 NN
committee 	 NN
commit 	 VB
common 	 JJ
commonly 	 ADVB
communicate 	 VB
communication 	 NN
community 	 NN
company 	 NN
compare 	 VB
comparison 	 NN
compete 	 VB
competition 	 NN
competitive 	 JJ
complaint 	 NN
complain 	 VB
complete 	 JJ
completely 	 ADVB
complete 	 VB
complex 	 JJ
complicated 	 JJ
complicate 	 VB
component 	 NN
computer 	 NN
concentrate 	 VB
concentration 	 NN
concept 	 NN
concerned 	 JJ
concerning 	 PREP
concern 	 NN
concern 	 VB
concert 	 NN
conclude 	 VB
conclusion 	 NN
concrete 	 JJ
concrete 	 NN
condition 	 NN
conduct 	 NN
conduct 	 VB
conference 	 NN
confidence 	 NN
confident 	 JJ
confidently 	 ADVB
confirm 	 VB
conflict 	 NN
conflict 	 VB
confront 	 VB
confused 	 JJ
confuse 	 VB
confusing 	 JJ
confusion 	 NN
congratulations 	 NN
congress 	 NN
connection 	 NN
connect 	 VB
conscious 	 JJ
consequence 	 NN
conservative 	 JJ
considerable 	 JJ
considerably 	 ADVB
consideration 	 NN
consider 	 VB
consistent 	 JJ
consist 	 VB
constant 	 JJ
constantly 	 ADVB
construction 	 NN
construct 	 VB
consult 	 VB
consumer 	 NN
contact 	 NN
contact 	 VB
container 	 NN
contain 	 VB
contemporary 	 JJ
content 	 NN
contest 	 NN
context 	 NN
continent 	 NN
continue 	 VB
continuous 	 JJ
continuously 	 ADVB
contract 	 NN
contract 	 VB
contrasting 	 JJ
contrast 	 NN
contrast 	 VB
contribute 	 VB
contribution 	 NN
controlled 	 JJ
control 	 NN
control 	 VB
convenient 	 JJ
conventional 	 JJ
convention 	 NN
conversation 	 NN
convert 	 VB
convince 	 VB
cookie 	 NN
cooking 	 NN
cook 	 NN
cook 	 VB
cool 	 JJ
cool 	 VB
cooperation 	 NN
copy 	 NN
copy 	 VB
core 	 NN
corner 	 NN
correct 	 JJ
correctly 	 ADVB
correct 	 VB
cost 	 NN
cost 	 VB
cottage 	 NN
cotton 	 NN
cough 	 NN
cough 	 VB
could 	 MODAL
council 	 NN
counter 	 NN
country 	 NN
countryside 	 NN
count 	 VB
county 	 NN
couple 	 NN
courage 	 NN
course 	 NN
court 	 NN
cousin 	 NN
covered 	 JJ
covering 	 NN
cover 	 NN
cover 	 VB
cow 	 NN
cracked 	 JJ
crack 	 NN
crack 	 VB
craft 	 NN
crash 	 NN
crash 	 VB
crazy 	 JJ
cream 	 JJ
cream 	 NN
create 	 VB
creation 	 NN
creative 	 JJ
creature 	 NN
creditcard 	 NN
credit 	 NN
crime 	 NN
criminal 	 JJ
criminal 	 NN
crisis 	 NN
crisp 	 JJ
criterion 	 NN
critical 	 JJ
criticism 	 NN
criticize 	 VB
critic 	 NN
crop 	 NN
cross 	 NN
cross 	 VB
crowded 	 JJ
crowd 	 NN
crown 	 NN
crucial 	 JJ
cruel 	 JJ
crush 	 VB
cry 	 NN
cry 	 VB
cultural 	 JJ
culture 	 NN
cupboard 	 NN
cup 	 NN
cure 	 NN
cure 	 VB
curious 	 JJ
curiously 	 ADVB
curl 	 NN
curl 	 VB
curly 	 JJ
current 	 JJ
currently 	 ADVB
current 	 NN
curtain 	 NN
curved 	 JJ
curve 	 NN
curve 	 VB
customer 	 NN
custom 	 NN
customs 	 NN
cute 	 JJ
cut 	 NN
cut 	 VB
cycle 	 NN
cycle 	 VB
cycling 	 NN
dad 	 NN
daily 	 JJ
damage 	 NN
damage 	 VB
damp 	 JJ
dance 	 NN
dancer 	 NN
dance 	 VB
dancing 	 NN
danger 	 NN
dangerous 	 JJ
dare 	 VB
dark 	 JJ
dark 	 NN
data 	 NN
date 	 NN
date 	 VB
daughter 	 NN
day 	 NN
dead 	 JJ
deaf 	 JJ
deal 	 NN
deal 	 VB
dear 	 JJ
death 	 NN
debate 	 NN
debate 	 VB
debt 	 NN
decade 	 NN
decay 	 NN
decay 	 VB
December 	 NN
decent 	 JJ
decide 	 VB
decision 	 NN
declare 	 VB
decline 	 NN
decline 	 VB
decorate 	 VB
decoration 	 NN
decorative 	 JJ
decrease 	 NN
decrease 	 VB
deep 	 JJ
deeply 	 ADVB
defeat 	 NN
defeat 	 VB
defend 	 VB
defense 	 NN
define 	 VB
definite 	 JJ
definitely 	 ADVB
definition 	 NN
degree 	 NN
delay 	 NN
delay 	 VB
deliberate 	 JJ
deliberately 	 ADVB
delicate 	 JJ
delight 	 NN
delight 	 VB
deliver 	 VB
delivery 	 NN
demand 	 NN
demand 	 VB
democracy 	 NN
democratic 	 JJ
demonstrate 	 VB
demonstration 	 NN
dentist 	 NN
deny 	 VB
department 	 NN
departure 	 NN
depend 	 VB
deposit 	 NN
deposit 	 VB
depressed 	 JJ
depressing 	 JJ
depress 	 VB
depth 	 NN
derive 	 VB
describe 	 VB
description 	 NN
desert 	 NN
desert 	 VB
deserve 	 VB
designer 	 NN
design 	 NN
design 	 VB
desire 	 NN
desire 	 VB
desk 	 NN
desperate 	 JJ
desperately 	 ADVB
despite 	 PREP
destroy 	 VB
destruction 	 NN
detailed 	 JJ
detail 	 NN
determination 	 NN
determined 	 JJ
determine 	 VB
development 	 NN
develop 	 VB
device 	 NN
devoted 	 JJ
devote 	 VB
diagram 	 NN
dialog 	 NN
dialogue 	 NN
diamond 	 NN
diary 	 NN
dictionary 	 NN
diet 	 NN
die 	 VB
difference 	 NN
different 	 JJ
differently 	 ADVB
difficult 	 JJ
difficulty 	 NN
digital 	 JJ
dig 	 VB
dinner 	 NN
direct 	 JJ
direction 	 NN
directly 	 ADVB
director 	 NN
direct 	 VB
dirt 	 NN
dirty 	 JJ
disability 	 NN
disadvantage 	 NN
disagreement 	 NN
disagree 	 VB
disappear 	 VB
disappointed 	 JJ
disappointing 	 JJ
disappointment 	 NN
disappoint 	 VB
disapproval 	 NN
disapprove 	 VB
disapproving 	 JJ
disaster 	 NN
discipline 	 NN
disc 	 NN
discount 	 NN
discover 	 VB
discovery 	 NN
discussion 	 NN
discuss 	 VB
disease 	 NN
disgusted 	 JJ
disgusting 	 JJ
disgust 	 NN
disgust 	 VB
dish 	 NN
dishonest 	 JJ
dishonestly 	 ADVB
disk 	 NN
dislike 	 NN
dislike 	 VB
dismiss 	 VB
display 	 NN
display 	 VB
dissolve 	 VB
distance 	 NN
distant 	 JJ
distinguish 	 VB
distribute 	 VB
distribution 	 NN
district 	 NN
disturbing 	 JJ
disturb 	 VB
divide 	 VB
division 	 NN
divorced 	 JJ
divorce 	 NN
divorce 	 VB
do 	 AUX
doctor 	 NN
document 	 NN
dog 	 NN
dollar 	 NN
domestic 	 JJ
dominate 	 VB
door 	 NN
dot 	 NN
double 	 JJ
double 	 ADVB
double 	 DET
double 	 NN
double 	 VB
doubt 	 NN
doubt 	 VB
do 	 VB
down 	 ADVB
down 	 PREP
downstairs 	 JJ
downstairs 	 ADVB
downstairs 	 NN
downtown 	 JJ
downtown 	 ADVB
downward 	 JJ
downward 	 ADVB
downwards 	 ADVB
dozen 	 DET
dozen 	 NN
draft 	 JJ
draft 	 NN
draft 	 VB
drag 	 VB
drama 	 NN
dramatic 	 JJ
dramatically 	 ADVB
drawer 	 NN
drawing 	 NN
draw 	 VB
dream 	 NN
dream 	 VB
dressed 	 JJ
dress 	 NN
dress 	 VB
drink 	 NN
drink 	 VB
drive 	 NN
driver 	 NN
drive 	 VB
driving 	 NN
drop 	 NN
drop 	 VB
drug 	 NN
drugstore 	 NN
drum 	 NN
drunk 	 JJ
dry 	 JJ
dry 	 VB
due 	 JJ
dull 	 JJ
dump 	 NN
dump 	 VB
during 	 PREP
dust 	 NN
dust 	 VB
duty 	 NN
DVD 	 NN
dying 	 JJ
each 	 DET
each 	 PRNOUN
eager 	 JJ
early 	 JJ
early 	 ADVB
ear 	 NN
earn 	 VB
earth 	 NN
ease 	 NN
ease 	 VB
easily 	 ADVB
east 	 JJ
east 	 ADVB
eastern 	 JJ
east 	 NN
easy 	 JJ
eat 	 VB
economic 	 JJ
economics 	 NN
economy 	 NN
edge 	 NN
edition 	 NN
editor 	 NN
educated 	 JJ
educate 	 VB
educational 	 JJ
education 	 NN
effective 	 JJ
effectively 	 ADVB
effect 	 NN
efficient 	 JJ
efficiently 	 ADVB
effort 	 NN
e.g. 	 ABBR
egg 	 NN
either 	 ADVB
either 	 DET
either 	 PRNOUN
elbow 	 NN
elderly 	 JJ
election 	 NN
electric 	 JJ
electrical 	 JJ
electricity 	 NN
electronic 	 JJ
elect 	 VB
elegant 	 JJ
element 	 NN
elevator 	 NN
eliminate 	 VB
else 	 ADVB
elsewhere 	 ADVB
e-mail 	 NN
email 	 NN
e-mail 	 VB
email 	 VB
embarrassed 	 JJ
embarrassing 	 JJ
embarrassment 	 NN
embarrass 	 VB
emergency 	 NN
emerge 	 VB
emotional 	 JJ
emotionally 	 ADVB
emotion 	 NN
emphasis 	 NN
emphasize 	 VB
empire 	 NN
employee 	 NN
employer 	 NN
employment 	 NN
employ 	 VB
empty 	 JJ
empty 	 VB
enable 	 VB
encounter 	 NN
encounter 	 VB
encouragement 	 NN
encourage 	 VB
ending 	 NN
end 	 NN
end 	 VB
enemy 	 NN
energy 	 NN
engaged 	 JJ
engage 	 VB
engineering 	 NN
engineer 	 NN
engine 	 NN
enjoyable 	 JJ
enjoyment 	 NN
enjoy 	 VB
enormous 	 JJ
enough 	 ADVB
enough 	 DET
enough 	 PRNOUN
ensure 	 VB
entertainer 	 NN
entertaining 	 JJ
entertainment 	 NN
entertain 	 VB
enter 	 VB
enthusiasm 	 NN
enthusiastic 	 JJ
entire 	 JJ
entirely 	 ADVB
entitle 	 VB
entrance 	 NN
entry 	 NN
envelope 	 NN
environmental 	 JJ
environment 	 NN
equal 	 JJ
equally 	 ADVB
equal 	 NN
equal 	 VB
equipment 	 NN
equivalent 	 JJ
equivalent 	 NN
era 	 NN
error 	 NN
escape 	 NN
escape 	 VB
especially 	 ADVB
essay 	 NN
essential 	 JJ
essentially 	 ADVB
essential 	 NN
establish 	 VB
estate 	 NN
estimate 	 NN
estimate 	 VB
etc. 	 ADVB
ethnic 	 JJ
even 	 JJ
even 	 ADVB
evening 	 NN
event 	 NN
eventually 	 ADVB
ever 	 ADVB
everybody 	 PRNOUN
every 	 DET
everyone 	 PRNOUN
everything 	 PRNOUN
everywhere 	 ADVB
evidence 	 NN
evil 	 JJ
evil 	 NN
exact 	 JJ
exactly 	 ADVB
exaggerated 	 JJ
exaggerate 	 VB
examination 	 NN
examine 	 VB
exam 	 NN
example 	 NN
excellent 	 JJ
except 	 CONJ
exception 	 NN
except 	 PREP
exchange 	 NN
exchange 	 VB
excited 	 JJ
excitement 	 NN
excite 	 VB
exciting 	 JJ
exclude 	 VB
excluding 	 PREP
excuse 	 NN
excuse 	 VB
executive 	 JJ
executive 	 NN
exercise 	 NN
exercise 	 VB
exhibition 	 NN
exhibit 	 NN
exhibit 	 VB
existence 	 NN
exist 	 VB
exit 	 NN
expand 	 VB
expectation 	 NN
expected 	 JJ
expect 	 VB
expense 	 NN
expensive 	 JJ
experienced 	 JJ
experience 	 NN
experience 	 VB
experiment 	 NN
experiment 	 VB
expert 	 JJ
expert 	 NN
explain 	 VB
explanation 	 NN
explode 	 VB
explore 	 VB
explosion 	 NN
export 	 NN
export 	 VB
expose 	 VB
express 	 JJ
expression 	 NN
express 	 VB
extend 	 VB
extension 	 NN
extensive 	 JJ
extent 	 NN
extra 	 JJ
