abandoned 	 JJ
power 	 NN
practical 	 JJ
practically 	 ADVB
practice 	 NN
practice 	 VB
praise 	 NN
praise 	 VB
prayer 	 NN
precise 	 JJ
precisely 	 ADVB
predict 	 VB
preference 	 NN
prefer 	 VB
pregnant 	 JJ
premises 	 NN
preparation 	 NN
prepared 	 JJ
prepare 	 VB
presence 	 NN
present 	 JJ
presentation 	 NN
present 	 NN
present 	 VB
preserve 	 VB
president 	 NN
press 	 NN
pressure 	 NN
press 	 VB
presumably 	 ADVB
pretend 	 VB
pretty 	 JJ
pretty 	 ADVB
prevent 	 VB
previous 	 JJ
previously 	 ADVB
price 	 NN
pride 	 NN
priest 	 NN
primarily 	 ADVB
primary 	 JJ
prime-minister 	 NN
prince 	 NN
princess 	 NN
principal 	 JJ
principal 	 NN
principle 	 NN
printer 	 NN
print 	 NN
print 	 VB
prior 	 JJ
priority 	 NN
prisoner 	 NN
prison 	 NN
private 	 JJ
privately 	 ADVB
prize 	 NN
probably 	 ADVB
problem 	 NN
procedure 	 NN
proceed 	 VB
process 	 NN
process 	 VB
producer 	 NN
produce 	 VB
production 	 NN
product 	 NN
professional 	 JJ
professional 	 NN
profession 	 NN
professor 	 NN
profile 	 NN
profit 	 NN
program 	 NN
program 	 VB
progress 	 NN
progress 	 VB
project 	 NN
project 	 VB
promise 	 NN
promise 	 VB
promote 	 VB
promotion 	 NN
prompt 	 JJ
promptly 	 ADVB
prompt 	 VB
pronounce 	 VB
pronunciation 	 NN
proof 	 NN
proper 	 JJ
property 	 NN
proportion 	 NN
proposal 	 NN
propose 	 VB
prospect 	 NN
protection 	 NN
protect 	 VB
protest 	 NN
protest 	 VB
proud 	 JJ
proudly 	 ADVB
prove 	 VB
provided 	 CONJ
provide 	 VB
public 	 JJ
publication 	 NN
publicity 	 NN
publicly 	 ADVB
public 	 NN
publishing 	 NN
publish 	 VB
pull 	 NN
pull 	 VB
punch 	 NN
punch 	 VB
punishment 	 NN
punish 	 VB
purchase 	 NN
purchase 	 VB
pure 	 JJ
purely 	 ADVB
purple 	 JJ
purple 	 NN
purpose 	 NN
pursue 	 VB
push 	 NN
push 	 VB
put 	 VB
qualification 	 NN
qualified 	 JJ
qualify 	 VB
quality 	 NN
quantity 	 NN
quarter 	 NN
queen 	 NN
question 	 NN
question 	 VB
quick 	 JJ
quickly 	 ADVB
quiet 	 JJ
quietly 	 ADVB
quite 	 ADVB
quit 	 VB
quote 	 VB
race 	 NN
race 	 VB
racing 	 NN
radio 	 NN
rail 	 NN
railroad 	 NN
rain 	 NN
rain 	 VB
raise 	 VB
range 	 NN
rank 	 NN
rank 	 VB
rapid 	 JJ
rapidly 	 ADVB
rare 	 JJ
rarely 	 ADVB
rate 	 NN
rate 	 VB
rather 	 ADVB
raw 	 JJ
reach 	 VB
reaction 	 NN
react 	 VB
reader 	 NN
reading 	 NN
read 	 VB
ready 	 JJ
real 	 JJ
realistic 	 JJ
reality 	 NN
realize 	 VB
really 	 ADVB
rear 	 JJ
rear 	 NN
reasonable 	 JJ
reasonably 	 ADVB
reason 	 NN
recall 	 VB
receipt 	 NN
receive 	 VB
recent 	 JJ
recently 	 ADVB
reception 	 NN
recognition 	 NN
recognize 	 VB
recommendation 	 NN
recommend 	 VB
recording 	 NN
record 	 NN
record 	 VB
recover 	 VB
recovery 	 NN
red 	 JJ
red 	 NN
reduce 	 VB
reduction 	 NN
reference 	 NN
refer 	 VB
reflect 	 VB
reform 	 NN
reform 	 VB
refrigerator 	 NN
refusal 	 NN
refuse 	 VB
regarding 	 PREP
regard 	 NN
regard 	 VB
regional 	 JJ
region 	 NN
register 	 NN
register 	 VB
regret 	 NN
regret 	 VB
regular 	 JJ
regularly 	 ADVB
regulation 	 NN
reject 	 VB
related 	 JJ
relate 	 VB
relation 	 NN
relationship 	 NN
relative 	 JJ
relatively 	 ADVB
relative 	 NN
relaxed 	 JJ
relaxing 	 JJ
relax 	 VB
release 	 NN
release 	 VB
relevant 	 JJ
relief 	 NN
religion 	 NN
religious 	 JJ
rely 	 VB
remaining 	 JJ
remains 	 NN
remain 	 VB
remarkable 	 JJ
remarkably 	 ADVB
remark 	 NN
remark 	 VB
remember 	 VB
remind 	 VB
remote 	 JJ
removal 	 NN
remove 	 VB
rent 	 NN
rent 	 VB
repair 	 NN
repair 	 VB
repeated 	 JJ
repeatedly 	 ADVB
repeat 	 VB
replace 	 VB
reply 	 NN
reply 	 VB
reporter 	 NN
report 	 NN
report 	 VB
representative 	 JJ
representative 	 NN
represent 	 VB
reproduce 	 VB
reputation 	 NN
request 	 NN
request 	 VB
requirement 	 NN
require 	 VB
rescue 	 NN
rescue 	 VB
research 	 NN
research 	 VB
reservation 	 NN
reserve 	 NN
reserve 	 VB
resident 	 JJ
resident 	 NN
resistance 	 NN
resist 	 VB
resolve 	 VB
resort 	 NN
resource 	 NN
respect 	 NN
respect 	 VB
respond 	 VB
response 	 NN
responsibility 	 NN
responsible 	 JJ
restaurant 	 NN
rest 	 NN
restore 	 VB
restricted 	 JJ
restriction 	 NN
restrict 	 VB
rest 	 VB
result 	 NN
result 	 VB
retain 	 VB
retired 	 JJ
retirement 	 NN
retire 	 VB
return 	 NN
return 	 VB
reveal 	 VB
reverse 	 NN
reverse 	 VB
review 	 NN
review 	 VB
revise 	 VB
revision 	 NN
revolution 	 NN
reward 	 NN
reward 	 VB
rhythm 	 NN
rice 	 NN
rich 	 JJ
ride 	 NN
rider 	 NN
ride 	 VB
ridiculous 	 JJ
riding 	 NN
rid 	 VB
right 	 JJ
right 	 ADVB
rightly 	 ADVB
right 	 NN
ring 	 NN
ring 	 VB
rise 	 NN
rise 	 VB
risk 	 NN
risk 	 VB
rival 	 JJ
rival 	 NN
river 	 NN
road 	 NN
rob 	 VB
rock 	 NN
role 	 NN
roll 	 NN
roll 	 VB
romantic 	 JJ
roof 	 NN
room 	 NN
root 	 NN
rope 	 NN
rose 	 NN
rough 	 JJ
roughly 	 ADVB
round 	 JJ
round 	 NN
route 	 NN
routine 	 JJ
routine 	 NN
row 	 NN
royal 	 JJ
rubber 	 NN
rub 	 VB
rude 	 JJ
rudely 	 ADVB
ruined 	 JJ
ruin 	 NN
ruin 	 VB
rule 	 NN
ruler 	 NN
rule 	 VB
rumor 	 NN
runner 	 NN
running 	 NN
run 	 NN
run 	 VB
rural 	 JJ
rush 	 NN
rush 	 VB
sack 	 NN
sad 	 JJ
sadly 	 ADVB
sadness 	 NN
safe 	 JJ
safely 	 ADVB
safety 	 NN
sailing 	 NN
sail 	 NN
sailor 	 NN
sail 	 VB
salad 	 NN
salary 	 NN
sale 	 NN
salt 	 NN
salty 	 JJ
same 	 JJ
same 	 PRNOUN
sample 	 NN
sand 	 NN
satisfaction 	 NN
satisfied 	 JJ
satisfying 	 JJ
satisfy 	 VB
Saturday 	 NN
sauce 	 NN
save 	 VB
saving 	 NN
say 	 VB
scale 	 NN
scared 	 JJ
scare 	 NN
scare 	 VB
scary 	 JJ
scene 	 NN
schedule 	 NN
schedule 	 VB
school 	 NN
science 	 NN
scientific 	 JJ
scientist 	 NN
scissors 	 NN
score 	 NN
score 	 VB
scratch 	 NN
scratch 	 VB
scream 	 NN
scream 	 VB
screen 	 NN
screw 	 NN
screw 	 VB
seal 	 NN
seal 	 VB
sea 	 NN
search 	 NN
search 	 VB
season 	 NN
seat 	 NN
second 	 ADVB
secondary 	 JJ
second 	 DET
second 	 NN
second 	 ORD
secret 	 JJ
secretary 	 NN
secretly 	 ADVB
secret 	 NN
section 	 NN
sector 	 NN
secure 	 JJ
secure 	 VB
security 	 NN
seed 	 NN
seek 	 VB
seem 	 LINK_VB
see 	 VB
selection 	 NN
select 	 VB
self 	 NN
sell 	 VB
semester 	 NN
senate 	 NN
senator 	 NN
send 	 VB
senior 	 JJ
senior 	 NN
sense 	 NN
sensible 	 JJ
sensitive 	 JJ
sentence 	 NN
separate 	 JJ
separated 	 JJ
separately 	 ADVB
separate 	 VB
separation 	 NN
September 	 NN
series 	 NN
serious 	 JJ
seriously 	 ADVB
servant 	 NN
serve 	 VB
service 	 NN
session 	 NN
set 	 NN
settle 	 VB
set 	 VB
several 	 DET
several 	 PRNOUN
severe 	 JJ
severely 	 ADVB
sew 	 VB
sex 	 NN
sexual 	 JJ
sexually 	 ADVB
shade 	 NN
shadow 	 NN
shake 	 NN
shake 	 VB
shall 	 MODAL
shallow 	 JJ
shame 	 NN
shaped 	 JJ
shape 	 NN
shape 	 VB
share 	 NN
share 	 VB
sharp 	 JJ
sharply 	 ADVB
shave 	 VB
sheep 	 NN
sheet 	 NN
shelf 	 NN
shell 	 NN
shelter 	 NN
shelter 	 VB
she 	 PRNOUN
shift 	 NN
shift 	 VB
shine 	 VB
shiny 	 JJ
ship 	 NN
shirt 	 NN
shocked 	 JJ
shocking 	 JJ
shock 	 NN
shock 	 VB
shoe 	 NN
shooting 	 NN
shoot 	 VB
shop 	 NN
shopping 	 NN
shop 	 VB
short 	 JJ
shortly 	 ADVB
shot 	 NN
shoulder 	 NN
should 	 MODAL
shout 	 NN
shout 	 VB
shower 	 NN
show 	 NN
show 	 VB
shut 	 VB
shy 	 JJ
sick 	 JJ
side 	 NN
sideways 	 JJ
sideways 	 ADVB
sight 	 NN
signal 	 NN
signal 	 VB
signature 	 NN
significant 	 JJ
significantly 	 ADVB
sign 	 NN
sign 	 VB
silence 	 NN
silent 	 JJ
silk 	 NN
silly 	 JJ
silver 	 JJ
silver 	 NN
similar 	 JJ
similarly 	 ADVB
simple 	 JJ
simply 	 ADVB
since 	 ADVB
since 	 CONJ
since 	 PREP
sincere 	 JJ
sincerely 	 ADVB
singer 	 NN
singing 	 NN
single 	 JJ
sing 	 VB
sink 	 VB
sir 	 NN
sister 	 NN
site 	 NN
situation 	 NN
sit 	 VB
size 	 NN
skilled 	 JJ
skillful 	 JJ
skillfully 	 ADVB
skill 	 NN
skin 	 NN
skirt 	 NN
sky 	 NN
sleep 	 NN
sleep 	 VB
sleeve 	 NN
slice 	 NN
slice 	 VB
slide 	 VB
slight 	 JJ
slightly 	 ADVB
slip 	 VB
slope 	 NN
slope 	 VB
slow 	 JJ
slowly 	 ADVB
small 	 JJ
smart 	 JJ
smash 	 NN
smash 	 VB
smell 	 NN
smell 	 VB
smile 	 NN
smile 	 VB
smoke 	 NN
smoke 	 VB
smoking 	 NN
smooth 	 JJ
smoothly 	 ADVB
snake 	 NN
snow 	 NN
snow 	 VB
so 	 ADVB
soap 	 NN
social 	 JJ
socially 	 ADVB
society 	 NN
sock 	 NN
so 	 CONJ
soft 	 JJ
softly 	 ADVB
software 	 NN
soil 	 NN
soldier 	 NN
solid 	 JJ
solid 	 NN
solution 	 NN
solve 	 VB
somebody 	 PRNOUN
some 	 DET
somehow 	 ADVB
someone 	 PRNOUN
some 	 PRNOUN
something 	 PRNOUN
sometimes 	 ADVB
somewhat 	 ADVB
somewhere 	 ADVB
song 	 NN
son 	 NN
soon 	 ADVB
sore 	 JJ
sorry 	 JJ
sorry 	 EXCLAM
sort 	 NN
sort 	 VB
soul 	 NN
sound 	 NN
sound 	 VB
soup 	 NN
sour 	 JJ
source 	 NN
south 	 JJ
south 	 ADVB
southern 	 JJ
south 	 NN
space 	 NN
spare 	 JJ
speaker 	 NN
speak 	 VB
special 	 JJ
specialist 	 NN
specially 	 ADVB
species 	 NN
specific 	 JJ
specifically 	 ADVB
speech 	 NN
speed 	 NN
spelling 	 NN
spell 	 NN
spell 	 VB
spend 	 VB
spice 	 NN
spicy 	 JJ
spider 	 NN
spill 	 VB
spin 	 VB
spirit 	 NN
spiritual 	 JJ
spite 	 NN
split 	 NN
split 	 VB
spoil 	 VB
spoken 	 JJ
spoon 	 NN
sport 	 NN
spot 	 NN
spray 	 NN
spray 	 VB
spread 	 VB
spring 	 NN
square 	 JJ
square 	 NN
squeeze 	 NN
squeeze 	 VB
stable 	 JJ
stable 	 NN
staff 	 NN
stage 	 NN
stair 	 NN
stamp 	 NN
stamp 	 VB
standard 	 JJ
standard 	 NN
stand 	 NN
stand 	 VB
stare 	 NN
stare 	 VB
star 	 NN
start 	 NN
start 	 VB
star 	 VB
state 	 JJ
statement 	 NN
state 	 NN
state 	 VB
station 	 NN
statue 	 NN
status 	 NN
stay 	 NN
stay 	 VB
steadily 	 ADVB
steady 	 JJ
steal 	 VB
steam 	 NN
steel 	 NN
steep 	 JJ
steeply 	 ADVB
steer 	 VB
step 	 NN
step 	 VB
stick 	 NN
stick 	 VB
sticky 	 JJ
stiff 	 JJ
still 	 JJ
still 	 ADVB
sting 	 NN
sting 	 VB
stir 	 VB
stock 	 NN
stomach 	 NN
stone 	 NN
stop 	 NN
stop 	 VB
store 	 NN
store 	 VB
storm 	 NN
story 	 NN
stove 	 NN
straight 	 JJ
straight 	 ADVB
strain 	 NN
strange 	 JJ
strangely 	 ADVB
stranger 	 NN
strategy 	 NN
stream 	 NN
street 	 NN
strength 	 NN
stressed 	 JJ
stress 	 NN
stress 	 VB
stretch 	 VB
strict 	 JJ
strictly 	 ADVB
strike 	 NN
strike 	 VB
striking 	 JJ
string 	 NN
striped 	 JJ
stripe 	 NN
strip 	 NN
strip 	 VB
stroke 	 NN
stroke 	 VB
strong 	 JJ
strongly 	 ADVB
structure 	 NN
struggle 	 NN
struggle 	 VB
student 	 NN
studio 	 NN
study 	 NN
study 	 VB
stuff 	 NN
stupid 	 JJ
style 	 NN
subject 	 NN
substance 	 NN
substantial 	 JJ
substantially 	 ADVB
substitute 	 NN
substitute 	 VB
succeed 	 VB
successful 	 JJ
successfully 	 ADVB
success 	 NN
such 	 DET
such 	 PRNOUN
suck 	 VB
sudden 	 JJ
suddenly 	 ADVB
suffering 	 NN
suffer 	 VB
sufficient 	 JJ
sufficiently 	 ADVB
sugar 	 NN
suggestion 	 NN
suggest 	 VB
suitable 	 JJ
suit 	 NN
suit 	 VB
summary 	 NN
summer 	 NN
sum 	 NN
Sunday 	 NN
sun 	 NN
superior 	 JJ
supermarket 	 NN
supply 	 NN
supply 	 VB
supporter 	 NN
support 	 NN
support 	 VB
suppose 	 VB
sure 	 JJ
sure 	 ADVB
surely 	 ADVB
surface 	 NN
surgery 	 NN
surprised 	 JJ
surprise 	 NN
surprise 	 VB
surprising 	 JJ
surprisingly 	 ADVB
surrounding 	 JJ
surroundings 	 NN
surround 	 VB
survey 	 NN
survey 	 VB
survive 	 VB
suspect 	 NN
suspect 	 VB
suspicion 	 NN
suspicious 	 JJ
swallow 	 VB
swear 	 VB
sweater 	 NN
sweat 	 NN
sweat 	 VB
sweep 	 VB
sweet 	 JJ
sweet 	 NN
swelling 	 NN
swell 	 VB
swimming 	 NN
swim 	 VB
swing 	 NN
swing 	 VB
switch 	 NN
switch 	 VB
swollen 	 JJ
symbol 	 NN
sympathetic 	 JJ
sympathy 	 NN
system 	 NN
table 	 NN
tablet 	 NN
tackle 	 NN
tackle 	 VB
tail 	 NN
take 	 VB
tale 	 NN
talent 	 NN
talk 	 NN
talk 	 VB
tall 	 JJ
tank 	 NN
tape 	 NN
tap 	 NN
tap 	 VB
target 	 NN
task 	 NN
taste 	 NN
taste 	 VB
taxi 	 NN
tax 	 NN
tax 	 VB
teacher 	 NN
teaching 	 NN
teach 	 VB
team 	 NN
tea 	 NN
tear 	 NN
tear 	 VB
technical 	 JJ
technique 	 NN
technology 	 NN
television 	 NN
tell 	 VB
temperature 	 NN
temporarily 	 ADVB
temporary 	 JJ
tendency 	 NN
tend 	 VB
tension 	 NN
tent 	 NN
term 	 NN
terrible 	 JJ
terribly 	 ADVB
territory 	 NN
terrorism 	 NN
terrorist 	 NN
terror 	 NN
test 	 NN
test 	 VB
text 	 NN
than 	 CONJ
thanks 	 EXCLAM
thanks 	 NN
thank 	 VB
than 	 PREP
theater 	 NN
the 	 DEFART
their 	 DET
theirs 	 PRNOUN
theme 	 NN
them 	 PRNOUN
themselves 	 PRNOUN
then 	 ADVB
theory 	 NN
there 	 ADVB
therefore 	 ADVB
they 	 PRNOUN
thick 	 JJ
thickly 	 ADVB
thickness 	 NN
thief 	 NN
thin 	 JJ
thing 	 NN
thinking 	 NN
think 	 VB
thirsty 	 JJ
this 	 DET
this 	 PRNOUN
thorough 	 JJ
thoroughly 	 ADVB
though 	 ADVB
though 	 CONJ
thought 	 NN
thread 	 NN
threatening 	 JJ
threaten 	 VB
threat 	 NN
throat 	 NN
through 	 ADVB
throughout 	 ADVB
throughout 	 PREP
through 	 PREP
throw 	 VB
thumb 	 NN
Thursday 	 NN
thus 	 ADVB
ticket 	 NN
tie 	 NN
tie 	 VB
tight 	 JJ
tight 	 ADVB
tightly 	 ADVB
till 	 CONJ
till 	 PREP
time 	 NN
timetable 	 NN
tin 	 NN
tiny 	 JJ
tip 	 NN
tip 	 VB
tired 	 JJ
tire 	 NN
tire 	 VB
tiring 	 JJ
title 	 NN
today 	 ADVB
today 	 NN
toe 	 NN
together 	 ADVB
toilet 	 NN
to 	 INF
tomato 	 NN
tomorrow 	 ADVB
tomorrow 	 NN
tone 	 NN
tongue 	 NN
tonight 	 ADVB
tonight 	 NN
ton 	 NN
too 	 ADVB
tool 	 NN
tooth 	 NN
top 	 JJ
topic 	 NN
top 	 NN
to 	 PREP
total 	 JJ
totally 	 ADVB
total 	 NN
touch 	 NN
touch 	 VB
tough 	 JJ
tourist 	 NN
tour 	 NN
tour 	 VB
toward 	 PREP
towards 	 PREP
towel 	 NN
tower 	 NN
town 	 NN
toy 	 JJ
toy 	 NN
trace 	 NN
trace 	 VB
track 	 NN
trade 	 NN
trade 	 VB
traditional 	 JJ
traditionally 	 ADVB
tradition 	 NN
traffic 	 NN
training 	 NN
train 	 NN
train 	 VB
transfer 	 NN
transfer 	 VB
transform 	 VB
transition 	 NN
translate 	 VB
translation 	 NN
transparent 	 JJ
transportation 	 NN
transport 	 NN
transport 	 VB
trap 	 NN
trap 	 VB
trash 	 NN
traveler 	 NN
travel 	 NN
travel 	 VB
treatment 	 NN
treat 	 VB
tree 	 NN
trend 	 NN
trial 	 NN
triangle 	 NN
trick 	 NN
trick 	 VB
trip 	 NN
trip 	 VB
troop 	 NN
tropical 	 JJ
trouble 	 NN
truck 	 NN
true 	 JJ
truly 	 ADVB
trust 	 NN
trust 	 VB
truth 	 NN
try 	 VB
tube 	 NN
Tuesday 	 NN
tune 	 NN
tune 	 VB
tunnel 	 NN
turn 	 NN
turn 	 VB
TV 	 NN
twice 	 ADVB
twin 	 JJ
twin 	 NN
twisted 	 JJ
twist 	 NN
twist 	 VB
type 	 NN
type 	 VB
typical 	 JJ
typically 	 ADVB
ugly 	 JJ
ultimate 	 JJ
ultimately 	 ADVB
umbrella 	 NN
unable 	 JJ
unacceptable 	 JJ
uncertain 	 JJ
uncle 	 NN
uncomfortable 	 JJ
unconscious 	 JJ
uncontrolled 	 JJ
under 	 ADVB
underground 	 JJ
underground 	 ADVB
underneath 	 ADVB
underneath 	 PREP
under 	 PREP
understanding 	 NN
understand 	 VB
underwater 	 JJ
underwater 	 ADVB
underwear 	 NN
undo 	 VB
unemployed 	 JJ
unemployment 	 NN
unexpected 	 JJ
unexpectedly 	 ADVB
unfair 	 JJ
unfairly 	 ADVB
unfortunate 	 JJ
unfortunately 	 ADVB
unfriendly 	 JJ
unhappiness 	 NN
unhappy 	 JJ
uniform 	 JJ
uniform 	 NN
unimportant 	 JJ
union 	 NN
unique 	 JJ
united 	 JJ
unite 	 VB
unit 	 NN
universal 	 JJ
universe 	 NN
university 	 NN
unkind 	 JJ
unknown 	 JJ
unless 	 CONJ
unlike 	 JJ
unlikely 	 JJ
unlike 	 PREP
unload 	 VB
unlucky 	 JJ
unnecessary 	 JJ
unpleasant 	 JJ
unreasonable 	 JJ
unsteady 	 JJ
unsuccessful 	 ADVB
until 	 CONJ
until 	 PREP
unusual 	 JJ
unusually 	 ADVB
unwilling 	 JJ
unwillingly 	 ADVB
up 	 ADVB
upon 	 PREP
upper 	 JJ
up 	 PREP
upset 	 JJ
upset 	 VB
upside 	 ADVB
upstairs 	 JJ
upstairs 	 ADVB
upstairs 	 NN
upward 	 JJ
upward 	 ADVB
upwards 	 ADVB
urban 	 JJ
urge 	 NN
urgent 	 JJ
urge 	 VB
used 	 JJ
useful 	 JJ
useless 	 JJ
use 	 NN
user 	 NN
use 	 VB
us 	 PRNOUN
usual 	 JJ
usually 	 ADVB
vacation 	 NN
valid 	 JJ
valley 	 NN
valuable 	 JJ
value 	 NN
value 	 VB
van 	 NN
variation 	 NN
varied 	 JJ
variety 	 NN
various 	 JJ
vary 	 VB
vast 	 JJ
vegetable 	 NN
vehicle 	 NN
venture 	 NN
version 	 NN
vertical 	 JJ
very 	 ADVB
via 	 PREP
victim 	 NN
victory 	 NN
video 	 NN
view 	 NN
view 	 VB
violence 	 NN
violent 	 JJ
violently 	 ADVB
virtually 	 ADVB
virus 	 NN
visible 	 JJ
vision 	 NN
visit 	 NN
visitor 	 NN
visit 	 VB
vital 	 JJ
vmedical 	 JJ
vocabulary 	 NN
voice 	 NN
volume 	 NN
vote 	 NN
vote 	 VB
wage 	 NN
waist 	 NN
waiter 	 NN
waitress 	 NN
wait 	 VB
wake 	 VB
walking 	 NN
walk 	 NN
walk 	 VB
wallet 	 NN
wall 	 NN
wander 	 NN
wander 	 VB
want 	 VB
warm 	 JJ
warmth 	 NN
warm 	 VB
warning 	 NN
war 	 NN
warn 	 VB
wash 	 VB
waste 	 JJ
waste 	 NN
waste 	 VB
watch 	 NN
watch 	 VB
water 	 NN
wave 	 NN
wave 	 VB
way 	 NN
weak 	 JJ
weakness 	 NN
wealth 	 NN
weapon 	 NN
wear 	 VB
weather 	 NN
web 	 NN
Web 	 NN
website 	 NN
wedding 	 NN
Wednesday 	 NN
weekend 	 NN
weekly 	 JJ
week 	 NN
weight 	 NN
weigh 	 VB
weird 	 JJ
welcome 	 JJ
welcome 	 EXCLAM
welcome 	 NN
welcome 	 VB
well 	 JJ
well 	 ADVB
well 	 EXCLAM
we 	 PRNOUN
west 	 JJ
west 	 ADVB
western 	 JJ
west 	 NN
wet 	 JJ
what 	 DET
whatever 	 DET
whatever 	 PRNOUN
what 	 PRNOUN
wheel 	 NN
when 	 ADVB
when 	 CONJ
whenever 	 CONJ
when 	 PRNOUN
where 	 ADVB
whereas 	 CONJ
where 	 CONJ
wherever 	 CONJ
whether 	 CONJ
which 	 DET
which 	 PRNOUN
while 	 CONJ
while 	 NN
whisper 	 NN
whisper 	 VB
whistle 	 NN
whistle 	 VB
white 	 JJ
white 	 NN
whoever 	 PRNOUN
whole 	 JJ
whole 	 NN
whom 	 PRNOUN
who 	 PRNOUN
whose 	 DET
whose 	 PRNOUN
why 	 ADVB
wide 	 JJ
widely 	 ADVB
width 	 NN
wife 	 NN
wild 	 JJ
wildly 	 ADVB
willing 	 JJ
willing 	 ADVB
willingly 	 ADVB
willingness 	 NN
will 	 MODAL
will 	 NN
wind 	 NN
window 	 NN
wind 	 VB
wine 	 NN
wing 	 NN
winner 	 NN
winning 	 JJ
winter 	 NN
win 	 VB
wire 	 NN
wise 	 JJ
wish 	 NN
wish 	 VB
withdraw 	 VB
within 	 PREP
without 	 PREP
with 	 PREP
witness 	 NN
witness 	 VB
woman 	 NN
wonderful 	 JJ
wonder 	 VB
wooden 	 JJ
wood 	 NN
wool 	 NN
word 	 NN
worker 	 NN
working 	 JJ
work 	 NN
work 	 VB
world 	 NN
worried 	 JJ
worrying 	 JJ
worry 	 NN
worry 	 VB
worship 	 NN
worship 	 VB
worth 	 JJ
would 	 MODAL
wounded 	 JJ
wound 	 NN
wound 	 VB
wrap 	 VB
wrist 	 NN
writer 	 NN
write 	 VB
writing 	 NN
written 	 JJ
wrong 	 JJ
wrong 	 ADVB
wrongly 	 ADVB
yard 	 NN
yawn 	 NN
yawn 	 VB
yeah 	 EXCLAM
year 	 NN
yellow 	 JJ
yellow 	 NN
yes 	 EXCLAM
yes 	 NN
yesterday 	 ADVB
yesterday 	 NN
yet 	 ADVB
yet 	 CONJ
young 	 JJ
you 	 PRNOUN
your 	 DET
yourself 	 PRNOUN
yours 	 PRNOUN
youth 	 NN
zero 	 NUM
zone 	 NN
