old_j	new_j   1.58
communication_n	conversation_n	8.02
pollution_n	atmosphere_n	4.25
anatomy_n	biology_n	5.33
college_n	profession_n	3.12
book_n	topic_n	2.07
formula_n	equation_n	7.95
book_n	information_n	5
boy_n	partner_n	1.9
sky_n	universe_n	4.68
population_n	people_n	7.68
college_n	class_n	4.13
chief_n	mayor_n	4.85
rabbi_n	minister_n	7.62
meter_n	inch_n	5.08
polyester_n	cotton_n	5.63
lawyer_n	banker_n	1.88
violin_n	instrument_n	6.58
camp_n	cabin_n	4.2
pot_n	appliance_n	2.53
linen_n	fabric_n	7.47
whiskey_n	champagne_n	5.33
girl_n	child_n	5.38
cottage_n	cabin_n	7.72
bird_n	hen_n	7.03
racket_n	noise_n	8.1
sunset_n	evening_n	5.98
drizzle_n	rain_n	9.17
adult_n	baby_n	2.22
charcoal_n	coal_n	7.63
body_n	spine_n	4.78
head_n	nail_n	2.47
log_n	timber_n	8.05
spoon_n	cup_n	2.02
body_n	nerve_n	3.13
man_n	husband_n	5.32
bone_n	neck_n	2.53
frustration_n	anger_n	6.5
river_n	sea_n	5.72
task_n	job_n	8.87
club_n	society_n	5.23
reflection_n	image_n	7.27
prince_n	king_n	5.92
snow_n	weather_n	5.48
people_n	party_n	2.2
boy_n	brother_n	6.67
root_n	grass_n	3.55
brow_n	eye_n	3.82
money_n	pearl_n	2.1
money_n	diamond_n	3.42
vehicle_n	bus_n	6.47
cab_n	bus_n	5.6
house_n	barn_n	4.33
finger_n	palm_n	3.33
car_n	bridge_n	0.95
effort_n	difficulty_n	4.45
fact_n	insight_n	4.77
job_n	management_n	3.97
cancer_n	sickness_n	7.93
word_n	newspaper_n	2.47
composer_n	writer_n	6.58
actor_n	singer_n	4.52
shelter_n	hut_n	6.47
bathroom_n	kitchen_n	3.1
cabin_n	hut_n	6.53
door_n	kitchen_n	1.67
value_n	belief_n	7.07
wisdom_n	intelligence_n	7.47
ignorance_n	intelligence_n	1.5
happiness_n	luck_n	2.38
idea_n	scheme_n	6.75
mood_n	emotion_n	8.12
happiness_n	peace_n	6.03
despair_n	misery_n	7.22
logic_n	arithmetic_n	3.97
denial_n	confession_n	1.03
argument_n	criticism_n	5.08
aggression_n	hostility_n	8.48
hysteria_n	confusion_n	6.33
chemistry_n	theory_n	3.17
trial_n	verdict_n	3.33
comfort_n	safety_n	5.8
confidence_n	self_n	3.12
vision_n	perception_n	6.88
era_n	decade_n	5.4
biography_n	fiction_n	1.38
discussion_n	argument_n	5.48
code_n	symbol_n	6.03
danger_n	disease_n	3
accident_n	catastrophe_n	5.9
journey_n	trip_n	8.88
activity_n	movement_n	7.15
gossip_n	news_n	5.22
father_n	god_n	3.57
action_n	course_n	5.45
fever_n	illness_n	7.65
aviation_n	flight_n	8.18
game_n	action_n	4.85
molecule_n	air_n	3.05
home_n	state_n	2.58
word_n	literature_n	4.77
adult_n	guardian_n	6.9
newspaper_n	information_n	5.65
communication_n	television_n	5.6
cousin_n	uncle_n	4.63
author_n	reader_n	1.6
guy_n	partner_n	3.57
area_n	corner_n	2.07
ballad_n	song_n	7.53
wall_n	decoration_n	2.62
word_n	page_n	2.92
nurse_n	scientist_n	2.08
politician_n	president_n	7.38
president_n	mayor_n	5.68
book_n	essay_n	4.72
man_n	warrior_n	4.72
article_n	journal_n	6.18
breakfast_n	supper_n	4.4
crowd_n	parade_n	3.93
aisle_n	hallway_n	6.75
teacher_n	rabbi_n	4.37
hip_n	lip_n	1.43
book_n	article_n	5.43
room_n	cell_n	4.58
box_n	booth_n	3.8
daughter_n	kid_n	4.17
limb_n	leg_n	6.9
liver_n	lung_n	2.7
classroom_n	hallway_n	2
mountain_n	ledge_n	3.73
car_n	elevator_n	1.03
bed_n	couch_n	3.42
clothes_n	button_n	2.3
clothes_n	coat_n	5.35
kidney_n	organ_n	6.17
apple_n	sauce_n	1.43
chicken_n	steak_n	3.73
car_n	hose_n	0.87
tobacco_n	cigarette_n	7.5
student_n	professor_n	1.95
baby_n	daughter_n	5
pipe_n	cigar_n	6.03
milk_n	juice_n	4.05
box_n	cigar_n	1.25
apartment_n	hotel_n	3.33
cup_n	cone_n	3.17
horse_n	ox_n	3.02
throat_n	nose_n	2.8
bone_n	teeth_n	4.17
bone_n	elbow_n	3.78
bacon_n	bean_n	1.22
cup_n	jar_n	5.13
proof_n	fact_n	7.3
appointment_n	engagement_n	6.75
birthday_n	year_n	1.67
word_n	clue_n	2.53
author_n	creator_n	8.02
atom_n	carbon_n	3.1
archbishop_n	bishop_n	7.05
letter_n	paragraph_n	4
page_n	paragraph_n	3.03
steeple_n	chapel_n	7.08
muscle_n	bone_n	3.65
muscle_n	tongue_n	5
boy_n	soldier_n	2.15
belly_n	abdomen_n	8.13
guy_n	girl_n	3.33
bed_n	chair_n	3.5
clothes_n	jacket_n	5.15
gun_n	knife_n	3.65
tin_n	metal_n	5.63
bottle_n	container_n	7.93
hen_n	turkey_n	6.13
meat_n	bread_n	1.67
arm_n	bone_n	3.83
neck_n	spine_n	5.32
apple_n	lemon_n	4.05
agony_n	grief_n	7.63
assignment_n	task_n	8.7
night_n	dawn_n	2.95
dinner_n	soup_n	3.72
calf_n	bull_n	4.93
snow_n	storm_n	4.8
nail_n	hand_n	3.42
dog_n	horse_n	2.38
arm_n	neck_n	1.58
ball_n	glove_n	1.75
flu_n	fever_n	6.08
fee_n	salary_n	3.72
nerve_n	brain_n	3.88
beast_n	animal_n	7.83
dinner_n	chicken_n	2.85
girl_n	maid_n	2.93
child_n	boy_n	5.75
alcohol_n	wine_n	7.42
nose_n	mouth_n	3.73
street_n	car_n	2.38
bell_n	door_n	2.2
box_n	hat_n	1.3
belief_n	impression_n	5.95
bias_n	opinion_n	5.6
attention_n	awareness_n	8.73
anger_n	mood_n	4.1
elegance_n	style_n	5.72
beauty_n	age_n	1.58
book_n	theme_n	2.58
friend_n	mother_n	2.53
vitamin_n	iron_n	5.55
car_n	factory_n	2.75
pact_n	condition_n	2.45
chapter_n	choice_n	0.48
arithmetic_n	rhythm_n	2.35
winner_n	presence_n	1.08
belief_n	flower_n	0.4
winner_n	goal_n	3.23
trick_n	size_n	0.48
choice_n	vein_n	0.98
hymn_n	conquest_n	0.68
endurance_n	band_n	0.4
jail_n	choice_n	1.08
condition_n	boy_n	0.48
flower_n	endurance_n	0.4
hole_n	agreement_n	0.3
doctor_n	temper_n	0.48
fraternity_n	door_n	0.68
task_n	woman_n	0.68
fraternity_n	baseball_n	0.88
cent_n	size_n	0.4
presence_n	door_n	0.48
mouse_n	management_n	0.48
task_n	highway_n	0.48
liquor_n	century_n	0.4
task_n	straw_n	0.68
island_n	task_n	0.3
night_n	chapter_n	0.48
pollution_n	president_n	0.68
gun_n	trick_n	0.48
bath_n	trick_n	0.58
diet_n	apple_n	1.18
cent_n	wife_n	0.58
chapter_n	tail_n	0.3
course_n	stomach_n	0.58
hymn_n	straw_n	0.4
dentist_n	colonel_n	0.4
wife_n	straw_n	0.4
hole_n	wife_n	0.68
pupil_n	president_n	0.78
bath_n	wife_n	0.48
people_n	cent_n	0.48
formula_n	log_n	1.77
woman_n	fur_n	0.58
apple_n	sunshine_n	0.58
gun_n	dawn_n	1.18
meal_n	waist_n	0.98
camera_n	president_n	0.48
liquor_n	band_n	0.68
stomach_n	vein_n	2.35
gun_n	fur_n	0.3
couch_n	baseball_n	0.88
worker_n	camera_n	0.68
deck_n	mouse_n	0.48
rice_n	boy_n	0.4
people_n	gun_n	0.68
cliff_n	tail_n	0.3
ankle_n	window_n	0.3
princess_n	island_n	0.3
container_n	mouse_n	0.3
wagon_n	container_n	2.65
people_n	balloon_n	0.48
dollar_n	people_n	0.4
bath_n	balloon_n	0.4
stomach_n	bedroom_n	0.4
bicycle_n	bedroom_n	0.4
log_n	bath_n	0.4
bowl_n	tail_n	0.48
go_v	come_v	2.42
take_v	steal_v	6.18
listen_v	hear_v	8.17
think_v	rationalize_v	8.25
occur_v	happen_v	9.32
vanish_v	disappear_v	9.8
multiply_v	divide_v	1.75
plead_v	beg_v	9.08
begin_v	originate_v	8.2
protect_v	defend_v	9.13
kill_v	destroy_v	5.9
create_v	make_v	8.72
accept_v	reject_v	0.83
ignore_v	avoid_v	6.87
carry_v	bring_v	5.8
leave_v	enter_v	0.95
choose_v	elect_v	7.62
lose_v	fail_v	7.33
encourage_v	discourage_v	1.58
achieve_v	accomplish_v	8.57
make_v	construct_v	8.33
listen_v	obey_v	4.93
inform_v	notify_v	9.25
receive_v	give_v	1.47
borrow_v	beg_v	2.62
take_v	obtain_v	7.1
advise_v	recommend_v	8.1
imitate_v	portray_v	6.75
win_v	succeed_v	7.9
think_v	decide_v	5.13
greet_v	meet_v	6.17
agree_v	argue_v	0.77
enjoy_v	entertain_v	5.92
destroy_v	make_v	1.6
save_v	protect_v	6.58
give_v	lend_v	7.22
understand_v	know_v	7.47
take_v	receive_v	5.08
accept_v	acknowledge_v	6.88
decide_v	choose_v	8.87
accept_v	believe_v	6.75
keep_v	possess_v	8.27
roam_v	wander_v	8.83
succeed_v	fail_v	0.83
spend_v	save_v	0.55
leave_v	go_v	7.63
come_v	attend_v	8.1
know_v	believe_v	5.5
gather_v	meet_v	7.3
make_v	earn_v	7.62
forget_v	ignore_v	3.07
multiply_v	add_v	2.7
shrink_v	grow_v	0.23
arrive_v	leave_v	1.33
succeed_v	try_v	3.98
accept_v	deny_v	1.75
arrive_v	come_v	7.05
agree_v	differ_v	1.05
send_v	receive_v	1.08
win_v	dominate_v	5.68
add_v	divide_v	2.3
kill_v	choke_v	4.92
acquire_v	get_v	8.82
participate_v	join_v	7.7
leave_v	remain_v	2.53
go_v	enter_v	4
take_v	carry_v	5.23
forget_v	learn_v	1.18
appoint_v	elect_v	8.17
engage_v	marry_v	5.43
ask_v	pray_v	3.72
go_v	send_v	3.75
take_v	deliver_v	4.37
speak_v	hear_v	3.02
analyze_v	evaluate_v	8.03
argue_v	rationalize_v	4.2
lose_v	keep_v	1.05
compare_v	analyze_v	8.1
disorganize_v	organize_v	1.45
go_v	allow_v	3.62
take_v	possess_v	7.2
learn_v	listen_v	3.88
destroy_v	construct_v	0.92
create_v	build_v	8.48
steal_v	buy_v	1.13
kill_v	hang_v	4.45
forget_v	know_v	0.92
create_v	imagine_v	5.13
do_v	happen_v	4.23
win_v	accomplish_v	7.85
give_v	deny_v	1.43
deserve_v	earn_v	5.8
get_v	put_v	1.98
locate_v	find_v	8.73
appear_v	attend_v	6.28
know_v	comprehend_v	7.63
pretend_v	imagine_v	8.47
satisfy_v	please_v	7.67
cherish_v	keep_v	4.85
argue_v	differ_v	5.15
overcome_v	dominate_v	6.25
behave_v	obey_v	7.3
cooperate_v	participate_v	6.43
achieve_v	try_v	4.42
fail_v	discourage_v	3.33
begin_v	quit_v	1.28
say_v	participate_v	3.82
come_v	bring_v	2.42
declare_v	announce_v	9.08
read_v	comprehend_v	4.7
take_v	leave_v	2.47
proclaim_v	announce_v	8.18
acquire_v	obtain_v	8.57
conclude_v	decide_v	7.75
please_v	plead_v	2.98
argue_v	prove_v	4.83
ask_v	plead_v	6.47
find_v	disappear_v	0.77
inspect_v	examine_v	8.75
verify_v	justify_v	4.08
assume_v	predict_v	4.85
learn_v	evaluate_v	4.17
argue_v	justify_v	5
make_v	become_v	4.77
discover_v	originate_v	4.83
achieve_v	succeed_v	7.5
give_v	put_v	3.65
understand_v	listen_v	4.68
expand_v	grow_v	8.27
borrow_v	sell_v	1.73
keep_v	protect_v	5.4
explain_v	prove_v	4.1
assume_v	pretend_v	3.72
agree_v	please_v	4.13
forgive_v	forget_v	3.92
clarify_v	explain_v	8.33
understand_v	forgive_v	4.87
remind_v	forget_v	0.87
get_v	remain_v	1.6
realize_v	discover_v	7.47
require_v	inquire_v	1.82
ignore_v	ask_v	1.07
think_v	inquire_v	4.77
reject_v	avoid_v	4.78
argue_v	persuade_v	6.23
pursue_v	persuade_v	3.17
accept_v	forgive_v	3.73
do_v	quit_v	1.17
investigate_v	examine_v	8.1
discuss_v	explain_v	6.67
owe_v	lend_v	2.32
explore_v	discover_v	8.48
complain_v	argue_v	4.8
withdraw_v	reject_v	6.38
keep_v	borrow_v	2.25
beg_v	ask_v	6
arrange_v	organize_v	8.27
reduce_v	shrink_v	8.02
speak_v	acknowledge_v	4.67
give_v	borrow_v	2.22
kill_v	defend_v	2.63
disappear_v	shrink_v	5.8
deliver_v	carry_v	3.88
breathe_v	choke_v	1.37
acknowledge_v	notify_v	5.3
become_v	seem_v	2.63
pretend_v	seem_v	4.68
accomplish_v	become_v	4
contemplate_v	think_v	8.82
determine_v	predict_v	5.8
please_v	entertain_v	5
remain_v	retain_v	5.75
pretend_v	portray_v	7.03
forget_v	retain_v	0.63
want_v	choose_v	4.78
lose_v	get_v	0.77
try_v	think_v	2.62
become_v	appear_v	4.77
leave_v	ignore_v	4.42
accept_v	recommend_v	2.75
leave_v	wander_v	3.57
keep_v	give_v	1.05
give_v	allow_v	5.15
bring_v	send_v	2.97
absorb_v	learn_v	5.48
acquire_v	find_v	6.38
leave_v	appear_v	0.97
create_v	destroy_v	0.63
begin_v	go_v	7.42
get_v	buy_v	5.08
collect_v	save_v	6.67
replace_v	restore_v	5.73
join_v	add_v	8.1
join_v	marry_v	5.35
accept_v	deliver_v	1.58
attach_v	join_v	7.75
put_v	hang_v	3
go_v	sell_v	0.97
communicate_v	pray_v	3.55
give_v	steal_v	0.5
add_v	build_v	4.92
bring_v	restore_v	2.62
comprehend_v	satisfy_v	2.55
portray_v	decide_v	1.18
organize_v	become_v	1.77
give_v	know_v	0.88
say_v	verify_v	4.9
cooperate_v	join_v	5.18
arrange_v	require_v	0.98
borrow_v	want_v	1.77
investigate_v	pursue_v	7.15
ignore_v	explore_v	0.4
bring_v	complain_v	0.98
enter_v	owe_v	0.68
portray_v	notify_v	0.78
remind_v	sell_v	0.4
absorb_v	possess_v	5
join_v	acquire_v	2.85
send_v	attend_v	1.67
gather_v	attend_v	4.8
absorb_v	withdraw_v	2.97
attend_v	arrive_v	6.08